frame,k,outRe_hex,outIm_hex
0,0,0036,0000
0,1,FFE1,000B
0,2,0004,FFFC
0,3,FFFF,0000
0,4,FFFF,FFFF
0,5,0001,0001
0,6,FFFF,FFFE
0,7,0000,0001
0,8,FFFC,0000
0,9,0001,FFFF
0,10,0000,0002
0,11,0001,FFFE
0,12,FFFF,0001
0,13,0001,0001
0,14,0005,0004
0,15,FFE4,FFF5
1,0,007F,0000
1,1,FFC2,000C
1,2,0005,FFF7
1,3,FFFD,0001
1,4,0002,0003
1,5,FFFF,FFFF
1,6,0000,0001
1,7,FFFF,FFFE
1,8,0001,0000
1,9,0000,0002
1,10,0001,FFFF
1,11,FFFF,0001
1,12,0002,FFFD
1,13,FFFF,FFFF
1,14,0006,0009
1,15,FFC5,FFF4
2,0,008F,0000
2,1,FFBC,FFD8
2,2,FFFE,000B
2,3,0003,0000
2,4,FFFD,FFFE
2,5,0003,0001
2,6,FFFE,FFFD
2,7,0003,0001
2,8,FFFF,0000
2,9,0004,FFFE
2,10,FFFE,0003
2,11,0003,FFFE
2,12,FFFD,0002
2,13,0005,0001
2,14,FFFE,FFF5
2,15,FFBF,0029
3,0,0037,0000
3,1,FFF0,FFEB
3,2,FFFA,0006
3,3,0001,FFFF
3,4,0000,FFFF
3,5,FFFF,0002
3,6,0001,FFFE
3,7,FFFD,FFFF
3,8,0001,0000
3,9,FFFE,0001
3,10,0002,0002
3,11,FFFF,FFFD
3,12,0000,0001
3,13,0003,0002
3,14,FFFB,FFFA
3,15,FFF3,0015
4,0,0059,0000
4,1,FFC7,000B
4,2,000E,FFF6
4,3,FFFD,0004
4,4,FFFD,0000
4,5,0003,FFFF
4,6,FFFD,0000
4,7,0002,0003
4,8,FFFD,0000
4,9,0003,FFFD
4,10,FFFE,0000
4,11,0003,0000
4,12,FFFD,0000
4,13,FFFF,FFFD
4,14,000F,000A
4,15,FFCA,FFF5
5,0,0039,0000
5,1,FFE7,FFE0
5,2,FFFF,0003
5,3,FFFE,FFFD
5,4,0003,FFFE
5,5,FFFE,0004
5,6,0002,FFFF
5,7,0002,FFFC
5,8,FFFD,0000
5,9,0003,0004
5,10,0003,0001
5,11,FFFE,FFFB
5,12,0003,0002
5,13,0000,0004
5,14,0000,FFFD
5,15,FFEA,0020
6,0,FFC2,0000
6,1,002D,FFED
6,2,FFF0,0008
6,3,0004,FFFE
6,4,0002,0000
6,5,0001,FFFD
6,6,FFFF,0000
6,7,FFFE,0000
6,8,0002,0000
6,9,FFFF,FFFF
6,10,0000,0000
6,11,0002,0002
6,12,0002,0000
6,13,0007,0003
6,14,FFF1,FFF8
6,15,0030,0014
7,0,FFFE,0000
7,1,0001,0033
7,2,FFFA,FFF5
7,3,0002,FFFF
7,4,FFFD,0003
7,5,0001,0000
7,6,FFFB,0001
7,7,0002,0001
7,8,FFFC,0000
7,9,0003,FFFF
7,10,FFFC,FFFF
7,11,0002,FFFF
7,12,FFFD,FFFD
7,13,0003,0002
7,14,FFFB,000B
7,15,0002,FFCD
8,0,00D8,0000
8,1,FF85,0007
8,2,0011,FFFF
8,3,FFFC,0003
8,4,FFFF,0001
8,5,FFFF,0000
8,6,0002,0001
8,7,FFFC,FFFD
8,8,0002,0000
8,9,FFFD,0003
8,10,0003,FFFF
8,11,0000,FFFF
8,12,FFFF,FFFF
8,13,FFFF,FFFE
8,14,0012,0001
8,15,FF88,FFF9
9,0,00D9,0000
9,1,FF95,FFD1
9,2,000D,0004
9,3,FFFE,FFFE
9,4,0001,0000
9,5,0002,FFFF
9,6,0002,FFFE
9,7,0000,0003
9,8,0005,0000
9,9,0001,FFFD
9,10,0003,0002
9,11,0002,0000
9,12,0001,0000
9,13,0000,0003
9,14,000E,FFFC
9,15,FF98,002F
10,0,0022,0000
10,1,0003,FFCF
10,2,FFF1,0009
10,3,0006,FFFF
10,4,FFFF,FFFF
10,5,0000,0002
10,6,0000,FFFD
10,7,0003,FFFE
10,8,FFFC,0000
10,9,0005,0001
10,10,0001,0003
10,11,0002,FFFD
10,12,FFFF,0001
10,13,0008,0002
10,14,FFF2,FFF7
10,15,0005,0032
11,0,FFCE,0000
11,1,0014,FFFD
11,2,0006,FFFC
11,3,FFF8,0002
11,4,0000,0000
11,5,0004,FFFC
11,6,0001,0000
11,7,FFFD,FFFF
11,8,0002,0000
11,9,FFFE,0001
11,10,0002,0000
11,11,0004,0004
11,12,0000,0000
11,13,FFFA,FFFE
11,14,0007,0004
11,15,0017,0003
12,0,FFAB,0000
12,1,0022,FFFD
12,2,0003,FFFF
12,3,FFFE,FFFC
12,4,FFFD,FFFC
12,5,0002,0005
12,6,0000,FFFD
12,7,0003,FFFF
12,8,0003,0000
12,9,0004,0001
12,10,0001,0003
12,11,0002,FFFA
12,12,FFFD,0004
12,13,0000,0005
12,14,0004,0001
12,15,0025,0003
13,0,FF6A,0000
13,1,004E,0000
13,2,FFF6,0004
13,3,FFFA,FFFE
13,4,0006,FFFE
13,5,FFFD,0001
13,6,FFFF,FFFE
13,7,0000,FFFF
13,8,FFFE,0000
13,9,0000,0000
13,10,0000,0002
13,11,FFFE,FFFE
13,12,0006,0002
13,13,FFFD,0003
13,14,FFF7,FFFC
13,15,0050,0001
14,0,FFEA,0000
14,1,000B,005D
14,2,FFF6,FFE7
14,3,FFFF,0005
14,4,0002,0002
14,5,FFFA,FFFC
14,6,FFFF,0005
14,7,FFFD,FFFD
14,8,FFFE,0000
14,9,FFFD,0003
14,10,0000,FFFB
14,11,FFFB,0003
14,12,0002,FFFE
14,13,0002,FFFC
14,14,FFF7,0019
14,15,000D,FFA3
15,0,012B,0000
15,1,FF59,0004
15,2,0012,0005
15,3,0000,0004
15,4,FFFE,FFFD
15,5,0001,0005
15,6,FFFF,FFFF
15,7,FFFB,0001
15,8,0005,0000
15,9,FFFB,FFFE
15,10,0000,0001
15,11,0002,FFFA
15,12,FFFE,0003
15,13,0003,FFFD
15,14,0013,FFFB
15,15,FF5B,FFFD
16,0,0108,0000
16,1,FF7F,FFB1
16,2,0009,0010
16,3,0004,0000
16,4,0000,FFFA
16,5,0002,0003
16,6,0000,FFFE
16,7,0000,0001
16,8,0004,0000
16,9,0001,FFFF
16,10,0001,0002
16,11,0002,FFFC
16,12,0000,0006
16,13,0006,0001
16,14,000A,FFF0
16,15,FF82,004F
17,0,001A,0000
17,1,0014,FFD8
17,2,FFEE,0007
17,3,0002,FFFD
17,4,0002,0002
17,5,FFFE,FFFA
17,6,0001,0003
17,7,0001,FFFE
17,8,0002,0000
17,9,0002,0002
17,10,0002,FFFD
17,11,FFFE,0005
17,12,0002,FFFE
17,13,0004,0004
17,14,FFEF,FFF9
17,15,0017,0028
18,0,0038,0000
18,1,FFD4,000D
18,2,0010,0000
18,3,FFFD,FFFD
18,4,FFFE,0004
18,5,0001,FFFE
18,6,0001,0002
18,7,FFFF,FFFF
18,8,0000,0000
18,9,0000,0001
18,10,0002,FFFE
18,11,0001,0001
18,12,FFFE,FFFC
18,13,FFFF,0004
18,14,0011,0000
18,15,FFD7,FFF3
19,0,0070,0000
19,1,FFC3,0005
19,2,0009,FFF1
19,3,FFFE,0005
19,4,FFFE,FFFC
19,5,0002,0002
19,6,0000,FFFF
19,7,0002,FFFE
19,8,0000,0000
19,9,0003,0001
19,10,0001,0001
19,11,0002,FFFD
19,12,FFFE,0004
19,13,0000,FFFC
19,14,000A,000F
19,15,FFC6,FFFC
20,0,FFFF,0000
20,1,000A,FFBE
20,2,FFF6,0014
20,3,FFFF,FFFC
20,4,FFFF,0000
20,5,0002,FFFD
20,6,0001,FFFE
20,7,0001,0000
20,8,0003,0000
20,9,0002,0000
20,10,0002,0002
20,11,0003,0002
20,12,FFFF,0000
20,13,0002,0005
20,14,FFF7,FFEC
20,15,000D,0042
21,0,FF58,0000
21,1,004D,FFFC
21,2,FFFE,FFFB
21,3,0001,0002
21,4,FFFC,FFFC
21,5,0007,FFFF
21,6,FFFE,FFFF
21,7,0004,FFFE
21,8,0000,0000
21,9,0005,0002
21,10,FFFE,0001
21,11,0007,0000
21,12,FFFC,0004
21,13,0003,FFFF
21,14,FFFE,0005
21,15,0050,0004
22,0,FEB4,0000
22,1,00A8,FFE7
22,2,FFF0,000F
22,3,FFFC,FFFA
