frame,k,outRe_hex,outIm_hex
0,0,0002,FFFF
0,1,0000,FFFE
0,2,000A,0000
0,3,FFFB,FFFE
0,4,0018,FFEE
0,5,0005,000D
0,6,0003,0005
0,7,FFF5,FFFB
0,8,0002,0001
0,9,FFF2,FFFC
0,10,0014,0000
0,11,FFF3,0002
0,12,FFF6,0012
0,13,0009,FFF3
0,14,0003,FFFB
0,15,FFF9,0005
1,0,0003,FFFB
1,1,FFFE,0001
1,2,0015,0000
1,3,FFFC,FFF8
1,4,003E,FFD2
1,5,000B,001D
1,6,0004,0009
1,7,FFEC,FFF7
1,8,0003,0005
1,9,FFE2,FFF9
1,10,0027,0000
1,11,FFE6,0002
1,12,FFE4,002E
1,13,0015,FFE3
1,14,0004,FFF7
1,15,FFF6,000F
2,0,FFFE,0007
2,1,0004,FFFE
2,2,0027,0000
2,3,0004,FFE8
2,4,0042,FFCD
2,5,FFF2,0014
2,6,FFFD,FFFE
2,7,FFEB,FFFE
2,8,FFFE,FFF9
2,9,FFE0,0016
2,10,0023,0000
2,11,FFE2,FFF8
2,12,FFDE,0033
2,13,0034,FFEC
2,14,FFFD,0002
2,15,FFFB,0022
3,0,FFFE,0004
3,1,0000,FFFE
3,2,0011,0000
3,3,0002,FFF7
3,4,001A,FFEC
3,5,FFF9,0003
3,6,FFFC,FFFD
3,7,FFFD,0003
3,8,FFFE,FFFC
3,9,FFF8,000A
3,10,000B,0000
3,11,FFFC,FFFB
3,12,FFF4,0014
3,13,0013,FFFD
3,14,FFFC,0003
3,15,0001,000B
4,0,0006,FFFB
4,1,0000,0002
4,2,000F,0000
4,3,FFFA,FFFA
4,4,0028,FFE1
4,5,0007,0019
4,6,0009,0008
4,7,FFEB,FFF6
4,8,0006,0005
4,9,FFE6,FFFC
4,10,001F,0000
4,11,FFE6,0004
4,12,FFEC,001F
4,13,0013,FFE7
4,14,0009,FFF8
4,15,FFF5,000C
5,0,0001,0002
5,1,FFFE,FFFB
5,2,0015,0000
5,3,0005,FFF1
5,4,001A,FFEC
5,5,FFF6,0003
5,6,FFFE,FFFB
5,7,FFF9,0002
5,8,0001,FFFE
5,9,FFF6,000F
5,10,000B,0000
5,11,FFF5,FFF9
5,12,FFF4,0014
5,13,0018,FFFD
5,14,FFFE,0005
5,15,0001,0014
6,0,FFF8,0004
6,1,0003,FFFF
6,2,FFF7,0000
6,3,0005,0003
6,4,FFE3,0015
6,5,FFF5,FFE5
6,6,FFF8,FFF9
6,7,0011,0008
6,8,FFF8,FFFC
6,9,0017,000B
6,10,FFE9,0000
6,11,0017,FFFD
6,12,000F,FFEB
6,13,FFF9,001B
6,14,FFF8,0007
6,15,000B,FFF8
7,0,FFFB,FFFA
7,1,0002,FFFF
7,2,FFF2,0000
7,3,FFF6,000D
7,4,0000,0002
7,5,0017,0007
7,6,0003,000D
7,7,FFFC,FFF8
7,8,FFFB,0006
7,9,0002,FFE7
7,10,000C,0000
7,11,0000,000B
7,12,0006,FFFE
7,13,FFE7,FFF9
7,14,0003,FFF3
7,15,FFFA,FFF0
8,0,000A,FFFF
8,1,FFFE,0000
8,2,0029,0000
8,3,FFFB,FFEC
8,4,0065,FFB2
8,5,000A,003A
8,6,0005,000C
8,7,FFD9,FFF1
8,8,000A,0001
8,9,FFC2,FFFC
8,10,0041,0000
8,11,FFCB,0000
8,12,FFCB,004E
8,13,0032,FFC6
8,14,0005,FFF4
8,15,FFED,0023
9,0,0008,0003
9,1,0001,FFFF
9,2,0035,0000
9,3,0006,FFE1
9,4,0066,FFB1
