frame,k,outRe_hex,outIm_hex
0,0,0000,0000
0,1,F263,D1A1
0,2,C000,4000
0,3,51A1,F263
0,4,0000,0000
0,5,2E5F,7263
0,6,4000,4000
0,7,8D9D,51A1
0,8,0000,0000
0,9,8D9D,AE5F
0,10,4000,C000
0,11,2E5F,8D9D
0,12,0000,0000
0,13,51A1,0D9D
0,14,C000,C000
0,15,F263,2E5F
1,0,8001,0000
1,1,5F30,1384
1,2,ED42,52BF
1,3,8481,F3E9
1,4,4001,C000
1,5,467D,A8ED
1,6,92C0,52BF
1,7,D5D6,C888
1,8,0001,0000
1,9,D5D6,3778
1,10,92C0,AD41
1,11,467D,5713
1,12,4001,4000
1,13,8481,0C17
1,14,ED42,AD41
1,15,5F30,EC7C
2,0,0001,0000
2,1,9E03,0B68
2,2,9A83,E57E
2,3,AD61,ACF4
2,4,0001,8000
2,5,8E17,F17E
2,6,E57F,657E
2,7,2689,4FF2
2,8,0001,0000
2,9,2689,B00E
2,10,E57F,9A82
2,11,8E17,0E82
2,12,0001,8000
2,13,AD61,530C
2,14,9A83,1A82
2,15,9E03,F498
3,0,0001,0000
3,1,79F5,9F66
3,2,9A83,E57E
3,3,415F,BDEA
3,4,0001,8000
3,5,2F1D,CD70
3,6,E57F,657E
3,7,1593,AEEC
3,8,0001,0000
3,9,1593,5114
3,10,E57F,9A82
3,11,2F1D,3290
3,12,0001,8000
3,13,415F,4216
3,14,9A83,1A82
3,15,79F5,609A
4,0,4000,0000
4,1,5FA4,E460
4,2,4000,8000
4,3,6460,8522
4,4,C000,0000
4,5,411E,DFA4
4,6,C000,0000
4,7,FADE,3EE2
4,8,4000,0000
4,9,FADE,C11E
4,10,C000,0000
4,11,411E,205C
4,12,C000,0000
4,13,6460,7ADE
4,14,4000,8000
4,15,5FA4,1BA0
5,0,C001,0000
5,1,D999,83C6
5,2,DA83,657E
5,3,A5BF,C30C
5,4,4001,8000
5,5,F03B,AD14
5,6,A57F,657E
5,7,9071,6DCE
5,8,C001,0000
5,9,9071,9232
5,10,A57F,9A82
5,11,F03B,52EC
5,12,4001,8000
5,13,A5BF,3CF4
5,14,DA83,9A82
5,15,D999,7C3A
6,0,8001,0000
6,1,3B22,E782
6,2,2D42,92BF
6,3,D87F,84DF
6,4,4001,C000
6,5,A783,84DF
6,6,52C0,92BF
6,7,44E0,E782
6,8,0001,0000
6,9,44E0,187E
6,10,52C0,6D41
6,11,A783,7B21
6,12,4001,4000
6,13,D87F,7B21
6,14,2D42,6D41
6,15,3B22,187E
7,0,7FFF,0000
7,1,860B,A09A
7,2,257D,DA82
7,3,FEA1,C216
7,4,7FFF,8000
7,5,90E3,B290
7,6,5A81,5A82
7,7,EA6D,9114
7,8,7FFF,0000
7,9,EA6D,6EEC
7,10,5A81,A57E
7,11,90E3,4D70
7,12,7FFF,8000
7,13,FEA1,3DEA
7,14,257D,257E
7,15,860B,5F66
8,0,0000,0000
8,1,88D4,8F44
8,2,0000,0000
8,3,0F44,D3D0
8,4,0000,0000
8,5,BBB8,08D4
8,6,0000,0000
8,7,AC30,C448
8,8,0000,0000
8,9,AC30,3BB8
8,10,0000,0000
8,11,BBB8,F72C
8,12,0000,0000
8,13,0F44,2C30
8,14,0000,0000
8,15,88D4,70BC
9,0,C003,0000
9,1,3333,C78C
9,2,F507,CAFC
9,3,CB7F,4618
9,4,C003,0000
9,5,E077,1A28
9,6,8AFF,CAFC
9,7,20E3,9B9C
9,8,C003,0000
9,9,20E3,6464
9,10,8AFF,3504
9,11,E077,E5D8
9,12,C003,0000
9,13,CB7F,B9E8
9,14,F507,3504
9,15,3333,3874
10,0,C002,0000
10,1,E6C2,A149
10,2,87C5,783D
10,3,743F,7F70
10,4,8002,4000
10,5,C73B,C3FA
10,6,F83F,F83D
10,7,DDCC,E5D3
10,8,4002,0000
10,9,DDCC,1A2D
10,10,F83F,07C3
10,11,C73B,3C06
10,12,8002,C000
10,13,743F,8090
10,14,87C5,87C3
10,15,E6C2,5EB7
11,0,0000,0000
11,1,605C,DBA0
11,2,4000,4000
11,3,1BA0,7ADE
11,4,8000,0000
11,5,3EE2,A05C
11,6,4000,C000
11,7,4522,011E
11,8,0000,0000
11,9,4522,FEE2
11,10,4000,4000
11,11,3EE2,5FA4
11,12,8000,0000
11,13,1BA0,8522
11,14,4000,C000
11,15,605C,2460
12,0,4000,0000
12,1,4E12,7F3B
12,2,D2BF,AD41
12,3,0E3F,5ED6
12,4,0000,4000
12,5,4C43,8454
12,6,AD41,2D41
12,7,576C,A4B9
12,8,C000,0000
12,9,576C,5B47
12,10,AD41,D2BF
12,11,4C43,7BAC
12,12,0000,C000
12,13,0E3F,A12A
12,14,D2BF,52BF
12,15,4E12,80C5
13,0,3FFF,0000
13,1,812C,081C
13,2,92BE,ED41
13,3,171F,46F5
13,4,FFFF,4000
13,5,7865,376F
13,6,ED40,6D41
13,7,EF4C,F896
13,8,BFFF,0000
13,9,EF4C,076A
13,10,ED40,92BF
13,11,7865,C891
13,12,FFFF,C000
13,13,171F,B90B
13,14,92BE,12BF
13,15,812C,F7E4
14,0,3FFE,0000
14,1,F99A,FA57
14,2,783B,87C3
14,3,E761,FB6E
14,4,FFFE,C000
14,5,B7A7,5C62
14,6,87C1,87C3
14,7,6756,5B4B
14,8,BFFE,0000
14,9,6756,A4B5
14,10,87C1,783D
14,11,B7A7,A39E
14,12,FFFE,4000
14,13,E761,0492
14,14,783B,783D
14,15,F99A,05A9
15,0,4000,0000
15,1,1ADB,C545
15,2,4000,8000
15,3,4545,8B55
15,4,C000,0000
15,5,2B35,1ADB
15,6,C000,0000
15,7,74AB,54CB
15,8,4000,0000
15,9,74AB,AB35
15,10,C000,0000
15,11,2B35,E525
15,12,C000,0000
15,13,4545,74AB
15,14,4000,8000
15,15,1ADB,3ABB
16,0,4003,0000
16,1,9262,9B10
16,2,A248,DDBB
16,3,0FFF,BA01
16,4,0003,C000
16,5,66F3,4315
16,6,5DBE,DDBB
16,7,F6B8,2424
16,8,C003,0000
16,9,F6B8,DBDC
16,10,5DBE,2245
16,11,66F3,BCEB
16,12,0003,4000
16,13,0FFF,45FF
16,14,A248,2245
16,15,9262,64F0
17,0,0003,0000
17,1,9CC2,89E9
17,2,3507,CAFC
17,3,CDDC,A4AB
17,4,0003,0000
17,5,131E,C3B7
17,6,CAFF,CAFC
17,7,8250,A8F5
17,8,0003,0000
17,9,8250,570B
17,10,CAFF,3504
17,11,131E,3C49
17,12,0003,0000
17,13,CDDC,5B55
17,14,3507,3504
17,15,9CC2,7617
18,0,0000,0000
18,1,653B,741E
18,2,D2BF,ED41
18,3,4322,B5FF
18,4,C000,4000
18,5,1760,5B7D
18,6,2D41,6D41
18,7,4043,199C
18,8,8000,0000
18,9,4043,E664
18,10,2D41,92BF
18,11,1760,A483
18,12,C000,C000
18,13,4322,4A01
18,14,D2BF,12BF
18,15,653B,8BE2
19,0,0001,0000
19,1,8C71,2643
19,2,2D42,92BF
19,3,D740,86A8
19,4,4001,C000
19,5,193C,962E
19,6,D2C0,12BF
19,7,8317,35C9
19,8,8001,0000
