frame,k,outRe_hex,outIm_hex
0,0,0036,0000
0,1,FFE3,0009
0,2,0004,FFFC
0,3,FFFF,FFFE
0,4,FFFF,FFFF
0,5,0001,0002
0,6,FFFF,FFFE
0,7,0001,0001
0,8,FFFC,0000
0,9,0001,FFFF
0,10,0000,0002
0,11,0001,FFFE
0,12,FFFF,0001
0,13,FFFF,0002
0,14,0005,0004
0,15,FFE3,FFF7
1,0,007F,0000
1,1,FFC4,000C
1,2,0005,FFF7
1,3,FFFE,0001
1,4,0002,0003
1,5,FFFE,FFFF
1,6,0001,0001
1,7,0000,FFFE
1,8,0001,0000
1,9,0000,0002
1,10,0001,FFFF
1,11,FFFE,0001
1,12,0002,FFFD
1,13,FFFE,FFFF
1,14,0005,0009
1,15,FFC4,FFF4
2,0,008F,0000
2,1,FFBC,FFD5
2,2,FFFE,000B
2,3,0003,FFFE
2,4,FFFD,FFFE
2,5,0004,0002
2,6,FFFE,FFFD
2,7,0004,0001
2,8,FFFF,0000
2,9,0004,FFFF
2,10,FFFE,0003
2,11,0005,FFFE
2,12,FFFD,0002
2,13,0004,0002
2,14,FFFE,FFF5
2,15,FFBC,002B
3,0,0037,0000
3,1,FFF3,FFE9
3,2,FFFB,0005
3,3,0000,FFFE
3,4,0000,FFFF
3,5,0000,0002
3,6,0001,FFFD
3,7,FFFD,FFFD
3,8,0001,0000
3,9,FFFD,0003
3,10,0001,0003
3,11,0000,FFFE
3,12,0000,0001
3,13,0000,0002
3,14,FFFB,FFFB
3,15,FFF3,0017
4,0,0059,0000
4,1,FFCA,000B
4,2,000F,FFF6
4,3,FFFD,0003
4,4,FFFD,0000
4,5,0003,FFFF
4,6,FFFD,0000
4,7,0002,0003
4,8,FFFD,0000
4,9,0002,FFFD
4,10,FFFD,0000
4,11,0003,0001
4,12,FFFD,0000
4,13,FFFD,FFFD
4,14,000F,000A
4,15,FFCA,FFF5
5,0,0039,0000
5,1,FFE8,FFDE
5,2,FFFF,0003
5,3,FFFE,FFFB
5,4,0003,FFFE
5,5,FFFE,0005
5,6,0002,FFFF
5,7,0004,FFFC
5,8,FFFD,0000
5,9,0004,0004
5,10,0003,0001
5,11,FFFE,FFFB
5,12,0003,0002
5,13,FFFE,0005
5,14,0000,FFFD
5,15,FFE8,0022
6,0,FFC2,0000
6,1,002F,FFEB
6,2,FFF1,0007
6,3,0005,FFFC
6,4,0002,0000
6,5,0001,FFFE
6,6,FFFF,FFFF
6,7,FFFF,0001
6,8,0002,0000
6,9,FFFF,FFFF
6,10,FFFF,0001
6,11,0001,0002
6,12,0002,0000
6,13,0005,0004
6,14,FFF1,FFF9
6,15,002F,0015
7,0,FFFE,0000
7,1,0001,0033
7,2,FFFB,FFF4
7,3,0002,FFFE
7,4,FFFD,0003
7,5,0001,0000
7,6,FFFB,0000
7,7,0003,0001
7,8,FFFC,0000
7,9,0003,FFFF
7,10,FFFB,0000
7,11,0002,0000
7,12,FFFD,FFFD
7,13,0003,0002
7,14,FFFB,000C
7,15,0001,FFCD
8,0,00D8,0000
8,1,FF86,0005
8,2,0012,FFFF
8,3,FFFD,0000
8,4,FFFF,0001
8,5,FFFF,0000
8,6,0002,0001
8,7,FFFE,FFFD
8,8,0002,0000
8,9,FFFE,0003
8,10,0002,FFFF
8,11,FFFF,0000
8,12,FFFF,FFFF
8,13,FFFD,0000
8,14,0012,0001
8,15,FF86,FFFB
9,0,00D9,0000
9,1,FF97,FFD1
9,2,000E,0003
9,3,0000,FFFD
9,4,0001,0000
9,5,0003,0000
9,6,0002,FFFD
9,7,0000,0003
9,8,0005,0000
9,9,FFFF,FFFD
9,10,0002,0003
9,11,0002,0001
9,12,0001,0000
9,13,FFFF,0002
9,14,000E,FFFD
9,15,FF96,002F
10,0,0022,0000
