frame,k,python_re_int,python_im_int,python_re_hex,python_im_hex,hls_re_int,hls_im_int,hls_re_hex,hls_im_hex,diff_re,diff_im
0,0,54,0,0036,0000,54,0,0036,0000,0,0
0,1,-30,11,FFE2,000B,-31,11,FFE1,000B,-1,0
0,2,4,-3,0004,FFFD,4,-4,0004,FFFC,0,-1
0,3,0,1,0000,0001,-1,0,FFFF,0000,-1,-1
0,4,-1,-1,FFFF,FFFF,-1,-1,FFFF,FFFF,0,0
0,5,2,3,0002,0003,1,1,0001,0001,-1,-2
0,6,0,-1,0000,FFFF,-1,-2,FFFF,FFFE,-1,-1
0,7,0,1,0000,0001,0,1,0000,0001,0,0
0,8,-4,0,FFFC,0000,-4,0,FFFC,0000,0,0
0,9,0,-1,0000,FFFF,1,-1,0001,FFFF,1,0
0,10,0,1,0000,0001,0,2,0000,0002,0,1
0,11,2,-3,0002,FFFD,1,-2,0001,FFFE,-1,1
0,12,-1,1,FFFF,0001,-1,1,FFFF,0001,0,0
0,13,0,-1,0000,FFFF,1,1,0001,0001,1,2
0,14,4,3,0004,0003,5,4,0005,0004,1,1
0,15,-30,-11,FFE2,FFF5,-28,-11,FFE4,FFF5,2,0
1,0,127,0,007F,0000,127,0,007F,0000,0,0
1,1,-60,15,FFC4,000F,-62,12,FFC2,000C,-2,-3
1,2,5,-9,0005,FFF7,5,-9,0005,FFF7,0,0
1,3,0,2,0000,0002,-3,1,FFFD,0001,-3,-1
1,4,2,3,0002,0003,2,3,0002,0003,0,0
1,5,-2,-1,FFFE,FFFF,-1,-1,FFFF,FFFF,1,0
1,6,1,1,0001,0001,0,1,0000,0001,-1,0
1,7,-1,-1,FFFF,FFFF,-1,-2,FFFF,FFFE,0,-1
1,8,1,0,0001,0000,1,0,0001,0000,0,0
1,9,-1,1,FFFF,0001,0,2,0000,0002,1,1
1,10,1,-1,0001,FFFF,1,-1,0001,FFFF,0,0
1,11,-2,1,FFFE,0001,-1,1,FFFF,0001,1,0
1,12,2,-3,0002,FFFD,2,-3,0002,FFFD,0,0
1,13,0,-2,0000,FFFE,-1,-1,FFFF,FFFF,-1,1
1,14,5,9,0005,0009,6,9,0006,0009,1,0
1,15,-60,-15,FFC4,FFF1,-59,-12,FFC5,FFF4,1,3
2,0,143,0,008F,0000,143,0,008F,0000,0,0
2,1,-67,-40,FFBD,FFD8,-68,-40,FFBC,FFD8,-1,0
2,2,-2,11,FFFE,000B,-2,11,FFFE,000B,0,0
2,3,4,1,0004,0001,3,0,0003,0000,-1,-1
2,4,-3,-2,FFFD,FFFE,-3,-2,FFFD,FFFE,0,0
2,5,3,2,0003,0002,3,1,0003,0001,0,-1
2,6,-2,-3,FFFE,FFFD,-2,-3,FFFE,FFFD,0,0
2,7,3,2,0003,0002,3,1,0003,0001,0,-1
2,8,-1,0,FFFF,0000,-1,0,FFFF,0000,0,0
2,9,3,-2,0003,FFFE,4,-2,0004,FFFE,1,0
2,10,-2,3,FFFE,0003,-2,3,FFFE,0003,0,0
2,11,3,-2,0003,FFFE,3,-2,0003,FFFE,0,0
2,12,-3,2,FFFD,0002,-3,2,FFFD,0002,0,0
2,13,4,-1,0004,FFFF,5,1,0005,0001,1,2
2,14,-2,-11,FFFE,FFF5,-2,-11,FFFE,FFF5,0,0
2,15,-67,40,FFBD,0028,-65,41,FFBF,0029,2,1
